date,MU stock,isPartial
2018-12-01,8,False
2018-12-02,9,False
2018-12-03,61,False
2018-12-04,37,False
2018-12-05,21,False
2018-12-06,35,False
2018-12-07,42,False
2018-12-08,7,False
2018-12-09,8,False
2018-12-10,29,False
2018-12-11,33,False
2018-12-12,47,False
2018-12-13,39,False
2018-12-14,31,False
2018-12-15,14,False
2018-12-16,6,False
2018-12-17,37,False
2018-12-18,69,False
2018-12-19,100,False
2018-12-20,53,False
2018-12-21,45,False
2018-12-22,9,False
2018-12-23,8,False
2018-12-24,26,False
2018-12-25,11,False
2018-12-26,43,False
2018-12-27,42,False
2018-12-28,32,False
2018-12-29,10,False
2018-12-30,6,False
2018-12-31,32,False
