date,WDC stock,isPartial
2014-02-01,29,False
2014-02-02,0,False
2014-02-03,25,False
2014-02-04,25,False
2014-02-05,74,False
2014-02-06,34,False
2014-02-07,56,False
2014-02-08,29,False
2014-02-09,29,False
2014-02-10,0,False
2014-02-11,60,False
2014-02-12,24,False
2014-02-13,49,False
2014-02-14,51,False
2014-02-15,0,False
2014-02-16,28,False
2014-02-17,25,False
2014-02-18,49,False
2014-02-19,74,False
2014-02-20,100,False
2014-02-21,52,False
2014-02-22,0,False
2014-02-23,29,False
2014-02-24,24,False
2014-02-25,48,False
2014-02-26,24,False
2014-02-27,25,False
2014-02-28,78,False
