date,ATVI stock,isPartial
2017-07-01,23,False
2017-07-02,11,False
2017-07-03,40,False
2017-07-04,13,False
2017-07-05,43,False
2017-07-06,40,False
2017-07-07,37,False
2017-07-08,15,False
2017-07-09,0,False
2017-07-10,53,False
2017-07-11,48,False
2017-07-12,61,False
2017-07-13,53,False
2017-07-14,70,False
2017-07-15,29,False
2017-07-16,15,False
2017-07-17,39,False
2017-07-18,71,False
2017-07-19,36,False
2017-07-20,65,False
2017-07-21,51,False
2017-07-22,19,False
2017-07-23,11,False
2017-07-24,32,False
2017-07-25,38,False
2017-07-26,41,False
2017-07-27,100,False
2017-07-28,86,False
2017-07-29,38,False
2017-07-30,15,False
2017-07-31,77,False
