date,TSLA stock,isPartial
2013-03-01,33,False
2013-03-02,19,False
2013-03-03,0,False
2013-03-04,31,False
2013-03-05,32,False
2013-03-06,39,False
2013-03-07,16,False
2013-03-08,25,False
2013-03-09,28,False
2013-03-10,0,False
2013-03-11,46,False
2013-03-12,54,False
2013-03-13,31,False
2013-03-14,23,False
2013-03-15,40,False
2013-03-16,0,False
2013-03-17,18,False
2013-03-18,15,False
2013-03-19,31,False
2013-03-20,23,False
2013-03-21,16,False
2013-03-22,16,False
2013-03-23,18,False
2013-03-24,36,False
2013-03-25,47,False
2013-03-26,55,False
2013-03-27,81,False
2013-03-28,100,False
2013-03-29,36,False
2013-03-30,0,False
2013-03-31,20,False
