date,TWTR,isPartial
2012-02-01,0,False
2012-02-02,0,False
2012-02-03,100,False
2012-02-04,38,False
2012-02-05,38,False
2012-02-06,65,False
2012-02-07,32,False
2012-02-08,64,False
2012-02-09,32,False
2012-02-10,0,False
2012-02-11,0,False
2012-02-12,37,False
2012-02-13,0,False
2012-02-14,32,False
2012-02-15,32,False
2012-02-16,64,False
2012-02-17,0,False
2012-02-18,0,False
2012-02-19,0,False
2012-02-20,0,False
2012-02-21,33,False
2012-02-22,0,False
2012-02-23,32,False
2012-02-24,0,False
2012-02-25,38,False
2012-02-26,0,False
2012-02-27,31,False
2012-02-28,0,False
2012-02-29,94,False
