date,AAPL stock,isPartial
2016-05-01,10,False
2016-05-02,67,False
2016-05-03,77,False
2016-05-04,71,False
2016-05-05,63,False
2016-05-06,59,False
2016-05-07,11,False
2016-05-08,10,False
2016-05-09,52,False
2016-05-10,61,False
2016-05-11,48,False
2016-05-12,75,False
2016-05-13,72,False
2016-05-14,13,False
2016-05-15,7,False
2016-05-16,100,False
2016-05-17,76,False
2016-05-18,63,False
2016-05-19,51,False
2016-05-20,62,False
2016-05-21,13,False
2016-05-22,10,False
2016-05-23,55,False
2016-05-24,63,False
2016-05-25,75,False
2016-05-26,66,False
2016-05-27,53,False
2016-05-28,12,False
2016-05-29,8,False
2016-05-30,14,False
2016-05-31,46,False
