date,ATVI stock,isPartial
2015-10-01,23,False
2015-10-02,32,False
2015-10-03,36,False
2015-10-04,0,False
2015-10-05,30,False
2015-10-06,55,False
2015-10-07,51,False
2015-10-08,51,False
2015-10-09,31,False
2015-10-10,18,False
2015-10-11,18,False
2015-10-12,21,False
2015-10-13,45,False
2015-10-14,15,False
2015-10-15,40,False
2015-10-16,31,False
2015-10-17,53,False
2015-10-18,35,False
2015-10-19,35,False
2015-10-20,59,False
2015-10-21,22,False
2015-10-22,40,False
2015-10-23,100,False
2015-10-24,18,False
2015-10-25,17,False
2015-10-26,34,False
2015-10-27,35,False
2015-10-28,40,False
2015-10-29,61,False
2015-10-30,79,False
2015-10-31,27,False
