date,EBAY stock,isPartial
2017-06-01,71,False
2017-06-02,47,False
2017-06-03,38,False
2017-06-04,51,False
2017-06-05,98,False
2017-06-06,80,False
2017-06-07,69,False
2017-06-08,57,False
2017-06-09,79,False
2017-06-10,59,False
2017-06-11,40,False
2017-06-12,68,False
2017-06-13,59,False
2017-06-14,100,False
2017-06-15,57,False
2017-06-16,82,False
2017-06-17,43,False
2017-06-18,64,False
2017-06-19,82,False
2017-06-20,86,False
2017-06-21,81,False
2017-06-22,67,False
2017-06-23,97,False
2017-06-24,65,False
2017-06-25,56,False
2017-06-26,76,False
2017-06-27,76,False
2017-06-28,75,False
2017-06-29,88,False
2017-06-30,70,False
