date,GS stock,isPartial
2015-04-01,11,False
2015-04-02,11,False
2015-04-03,12,False
2015-04-04,0,False
2015-04-05,13,False
2015-04-06,22,False
2015-04-07,21,False
2015-04-08,32,False
2015-04-09,32,False
2015-04-10,17,False
2015-04-11,13,False
2015-04-12,19,False
2015-04-13,10,False
2015-04-14,15,False
2015-04-15,32,False
2015-04-16,100,False
2015-04-17,49,False
2015-04-18,19,False
2015-04-19,12,False
2015-04-20,10,False
2015-04-21,31,False
2015-04-22,21,False
2015-04-23,21,False
2015-04-24,44,False
2015-04-25,12,False
2015-04-26,0,False
2015-04-27,16,False
2015-04-28,15,False
2015-04-29,21,False
2015-04-30,27,False
