date,SIRI stock,isPartial
2015-04-01,40,False
2015-04-02,88,False
2015-04-03,35,False
2015-04-04,48,False
2015-04-05,16,False
2015-04-06,97,False
2015-04-07,86,False
2015-04-08,78,False
2015-04-09,84,False
2015-04-10,88,False
2015-04-11,23,False
2015-04-12,23,False
2015-04-13,74,False
2015-04-14,69,False
2015-04-15,65,False
2015-04-16,39,False
2015-04-17,55,False
2015-04-18,16,False
2015-04-19,31,False
2015-04-20,82,False
2015-04-21,53,False
2015-04-22,48,False
2015-04-23,80,False
2015-04-24,77,False
2015-04-25,36,False
2015-04-26,20,False
2015-04-27,30,False
2015-04-28,82,False
2015-04-29,100,False
2015-04-30,54,False
