date,WDC stock,isPartial
2018-11-01,100,False
2018-11-02,81,False
2018-11-03,35,False
2018-11-04,11,False
2018-11-05,83,False
2018-11-06,74,False
2018-11-07,80,False
2018-11-08,59,False
2018-11-09,68,False
2018-11-10,11,False
2018-11-11,12,False
2018-11-12,62,False
2018-11-13,75,False
2018-11-14,50,False
2018-11-15,58,False
2018-11-16,59,False
2018-11-17,23,False
2018-11-18,25,False
2018-11-19,48,False
2018-11-20,82,False
2018-11-21,46,False
2018-11-22,28,False
2018-11-23,46,False
2018-11-24,17,False
2018-11-25,22,False
2018-11-26,68,False
2018-11-27,83,False
2018-11-28,79,False
2018-11-29,63,False
2018-11-30,89,False
