date,SIRI stock,isPartial
2012-12-01,29,False
2012-12-02,37,False
2012-12-03,69,False
2012-12-04,51,False
2012-12-05,69,False
2012-12-06,81,False
2012-12-07,80,False
2012-12-08,25,False
2012-12-09,18,False
2012-12-10,71,False
2012-12-11,48,False
2012-12-12,66,False
2012-12-13,67,False
2012-12-14,65,False
2012-12-15,37,False
2012-12-16,29,False
2012-12-17,83,False
2012-12-18,98,False
2012-12-19,100,False
2012-12-20,65,False
2012-12-21,95,False
2012-12-22,65,False
2012-12-23,27,False
2012-12-24,48,False
2012-12-25,32,False
2012-12-26,79,False
2012-12-27,86,False
2012-12-28,61,False
2012-12-29,34,False
2012-12-30,30,False
2012-12-31,64,False
