date,MSFT stock,isPartial
2016-07-01,16,False
2016-07-02,6,False
2016-07-03,4,False
2016-07-04,7,False
2016-07-05,24,False
2016-07-06,27,False
2016-07-07,25,False
2016-07-08,27,False
2016-07-09,10,False
2016-07-10,6,False
2016-07-11,22,False
2016-07-12,23,False
2016-07-13,26,False
2016-07-14,25,False
2016-07-15,18,False
2016-07-16,8,False
2016-07-17,3,False
2016-07-18,33,False
2016-07-19,69,False
2016-07-20,100,False
2016-07-21,55,False
2016-07-22,40,False
2016-07-23,12,False
2016-07-24,8,False
2016-07-25,24,False
2016-07-26,26,False
2016-07-27,26,False
2016-07-28,27,False
2016-07-29,31,False
2016-07-30,7,False
2016-07-31,10,False
