date,QCOM stock,isPartial
2016-09-01,62,False
2016-09-02,32,False
2016-09-03,18,False
2016-09-04,0,False
2016-09-05,10,False
2016-09-06,40,False
2016-09-07,26,False
2016-09-08,36,False
2016-09-09,32,False
2016-09-10,18,False
2016-09-11,24,False
2016-09-12,26,False
2016-09-13,25,False
2016-09-14,36,False
2016-09-15,36,False
2016-09-16,53,False
2016-09-17,17,False
2016-09-18,0,False
2016-09-19,30,False
2016-09-20,30,False
2016-09-21,50,False
2016-09-22,77,False
2016-09-23,27,False
2016-09-24,23,False
2016-09-25,0,False
2016-09-26,30,False
2016-09-27,50,False
2016-09-28,40,False
2016-09-29,76,False
2016-09-30,100,False
