date,HAS stock,isPartial
2013-06-01,53,False
2013-06-02,61,False
2013-06-03,92,False
2013-06-04,69,False
2013-06-05,48,False
2013-06-06,74,False
2013-06-07,48,False
2013-06-08,58,False
2013-06-09,100,False
2013-06-10,53,False
2013-06-11,79,False
2013-06-12,69,False
2013-06-13,80,False
2013-06-14,82,False
2013-06-15,64,False
2013-06-16,54,False
2013-06-17,87,False
2013-06-18,70,False
2013-06-19,67,False
2013-06-20,71,False
2013-06-21,55,False
2013-06-22,72,False
2013-06-23,65,False
2013-06-24,60,False
2013-06-25,54,False
2013-06-26,70,False
2013-06-27,75,False
2013-06-28,74,False
2013-06-29,62,False
2013-06-30,73,False
