date,COST stock,isPartial
2013-04-01,70,False
2013-04-02,97,False
2013-04-03,82,False
2013-04-04,88,False
2013-04-05,93,False
2013-04-06,57,False
2013-04-07,54,False
2013-04-08,66,False
2013-04-09,71,False
2013-04-10,99,False
2013-04-11,100,False
2013-04-12,91,False
2013-04-13,75,False
2013-04-14,72,False
2013-04-15,78,False
2013-04-16,78,False
2013-04-17,65,False
2013-04-18,59,False
2013-04-19,51,False
2013-04-20,44,False
2013-04-21,49,False
2013-04-22,61,False
2013-04-23,68,False
2013-04-24,80,False
2013-04-25,68,False
2013-04-26,69,False
2013-04-27,48,False
2013-04-28,42,False
2013-04-29,77,False
2013-04-30,72,False
