date,EXPE stock,isPartial
2013-12-01,0,False
2013-12-02,0,False
2013-12-03,0,False
2013-12-04,0,False
2013-12-05,0,False
2013-12-06,0,False
2013-12-07,0,False
2013-12-08,0,False
2013-12-09,0,False
2013-12-10,67,False
2013-12-11,0,False
2013-12-12,46,False
2013-12-13,48,False
2013-12-14,0,False
2013-12-15,0,False
2013-12-16,89,False
2013-12-17,46,False
2013-12-18,46,False
2013-12-19,0,False
2013-12-20,50,False
2013-12-21,0,False
2013-12-22,0,False
2013-12-23,100,False
2013-12-24,55,False
2013-12-25,0,False
2013-12-26,52,False
2013-12-27,0,False
2013-12-28,0,False
2013-12-29,55,False
2013-12-30,49,False
2013-12-31,0,False
