date,HD stock,isPartial
2012-01-01,40,False
2012-01-02,69,False
2012-01-03,79,False
2012-01-04,100,False
2012-01-05,79,False
2012-01-06,60,False
2012-01-07,60,False
2012-01-08,49,False
2012-01-09,49,False
2012-01-10,97,False
2012-01-11,90,False
2012-01-12,63,False
2012-01-13,72,False
2012-01-14,75,False
2012-01-15,58,False
2012-01-16,82,False
2012-01-17,54,False
2012-01-18,68,False
2012-01-19,82,False
2012-01-20,93,False
2012-01-21,58,False
2012-01-22,82,False
2012-01-23,74,False
2012-01-24,68,False
2012-01-25,48,False
2012-01-26,42,False
2012-01-27,57,False
2012-01-28,33,False
2012-01-29,65,False
2012-01-30,34,False
2012-01-31,47,False
