date,EA stock,isPartial
2014-06-01,20,False
2014-06-02,24,False
2014-06-03,40,False
2014-06-04,32,False
2014-06-05,41,False
2014-06-06,18,False
2014-06-07,0,False
2014-06-08,20,False
2014-06-09,42,False
2014-06-10,68,False
2014-06-11,41,False
2014-06-12,75,False
2014-06-13,26,False
2014-06-14,0,False
2014-06-15,59,False
2014-06-16,25,False
2014-06-17,82,False
2014-06-18,100,False
2014-06-19,60,False
2014-06-20,44,False
2014-06-21,41,False
2014-06-22,30,False
2014-06-23,59,False
2014-06-24,58,False
2014-06-25,41,False
2014-06-26,42,False
2014-06-27,18,False
2014-06-28,51,False
2014-06-29,30,False
2014-06-30,33,False
