date,PFE stock,isPartial
2014-09-01,0,False
2014-09-02,80,False
2014-09-03,32,False
2014-09-04,98,False
2014-09-05,17,False
2014-09-06,19,False
2014-09-07,0,False
2014-09-08,32,False
2014-09-09,16,False
2014-09-10,48,False
2014-09-11,48,False
2014-09-12,17,False
2014-09-13,0,False
2014-09-14,0,False
2014-09-15,48,False
2014-09-16,64,False
2014-09-17,64,False
2014-09-18,16,False
2014-09-19,100,False
2014-09-20,19,False
2014-09-21,0,False
2014-09-22,78,False
2014-09-23,16,False
2014-09-24,32,False
2014-09-25,32,False
2014-09-26,51,False
2014-09-27,19,False
2014-09-28,19,False
2014-09-29,32,False
2014-09-30,47,False
