date,TWTR,isPartial
2012-01-01,100,False
2012-01-02,0,False
2012-01-03,36,False
2012-01-04,0,False
2012-01-05,36,False
2012-01-06,38,False
2012-01-07,0,False
2012-01-08,41,False
2012-01-09,0,False
2012-01-10,0,False
2012-01-11,0,False
2012-01-12,35,False
2012-01-13,36,False
2012-01-14,0,False
2012-01-15,0,False
2012-01-16,34,False
2012-01-17,34,False
2012-01-18,0,False
2012-01-19,0,False
2012-01-20,36,False
2012-01-21,82,False
2012-01-22,41,False
2012-01-23,67,False
2012-01-24,0,False
2012-01-25,0,False
2012-01-26,0,False
2012-01-27,36,False
2012-01-28,0,False
2012-01-29,0,False
2012-01-30,0,False
2012-01-31,33,False
