date,HD stock,isPartial
2018-09-01,42,False
2018-09-02,36,False
2018-09-03,28,False
2018-09-04,87,False
2018-09-05,54,False
2018-09-06,54,False
2018-09-07,63,False
2018-09-08,36,False
2018-09-09,30,False
2018-09-10,58,False
2018-09-11,100,False
2018-09-12,98,False
2018-09-13,73,False
2018-09-14,71,False
2018-09-15,34,False
2018-09-16,36,False
2018-09-17,61,False
2018-09-18,44,False
2018-09-19,65,False
2018-09-20,82,False
2018-09-21,63,False
2018-09-22,36,False
2018-09-23,25,False
2018-09-24,65,False
2018-09-25,33,False
2018-09-26,66,False
2018-09-27,81,False
2018-09-28,35,False
2018-09-29,31,False
2018-09-30,18,False
