date,MAT stock,isPartial
2012-02-01,51,False
2012-02-02,51,False
2012-02-03,53,False
2012-02-04,0,False
2012-02-05,60,False
2012-02-06,0,False
2012-02-07,51,False
2012-02-08,50,False
2012-02-09,0,False
2012-02-10,53,False
2012-02-11,61,False
2012-02-12,0,False
2012-02-13,49,False
2012-02-14,100,False
2012-02-15,51,False
2012-02-16,51,False
2012-02-17,0,False
2012-02-18,62,False
2012-02-19,61,False
2012-02-20,0,False
2012-02-21,0,False
2012-02-22,0,False
2012-02-23,0,False
2012-02-24,53,False
2012-02-25,61,False
2012-02-26,0,False
2012-02-27,100,False
2012-02-28,50,False
2012-02-29,0,False
