date,EBAY stock,isPartial
2014-07-01,56,False
2014-07-02,73,False
2014-07-03,63,False
2014-07-04,48,False
2014-07-05,43,False
2014-07-06,86,False
2014-07-07,66,False
2014-07-08,71,False
2014-07-09,78,False
2014-07-10,81,False
2014-07-11,70,False
2014-07-12,91,False
2014-07-13,48,False
2014-07-14,66,False
2014-07-15,88,False
2014-07-16,95,False
2014-07-17,100,False
2014-07-18,69,False
2014-07-19,47,False
2014-07-20,38,False
2014-07-21,59,False
2014-07-22,54,False
2014-07-23,79,False
2014-07-24,70,False
2014-07-25,82,False
2014-07-26,43,False
2014-07-27,73,False
2014-07-28,93,False
2014-07-29,82,False
2014-07-30,78,False
2014-07-31,87,False
