date,PHG stock,isPartial
2013-04-01,0,False
2013-04-02,0,False
2013-04-03,50,False
2013-04-04,100,False
2013-04-05,0,False
2013-04-06,0,False
2013-04-07,60,False
2013-04-08,0,False
2013-04-09,0,False
2013-04-10,0,False
2013-04-11,0,False
2013-04-12,0,False
2013-04-13,0,False
2013-04-14,0,False
2013-04-15,50,False
2013-04-16,0,False
2013-04-17,0,False
2013-04-18,50,False
2013-04-19,0,False
2013-04-20,61,False
2013-04-21,0,False
2013-04-22,99,False
2013-04-23,50,False
2013-04-24,0,False
2013-04-25,0,False
2013-04-26,53,False
2013-04-27,0,False
2013-04-28,0,False
2013-04-29,0,False
2013-04-30,0,False
