date,CTSH stock,isPartial
2016-03-01,97,False
2016-03-02,58,False
2016-03-03,44,False
2016-03-04,61,False
2016-03-05,68,False
2016-03-06,0,False
2016-03-07,73,False
2016-03-08,49,False
2016-03-09,50,False
2016-03-10,30,False
2016-03-11,62,False
2016-03-12,34,False
2016-03-13,33,False
2016-03-14,49,False
2016-03-15,69,False
2016-03-16,88,False
2016-03-17,45,False
2016-03-18,63,False
2016-03-19,0,False
2016-03-20,67,False
2016-03-21,90,False
2016-03-22,30,False
2016-03-23,30,False
2016-03-24,85,False
2016-03-25,100,False
2016-03-26,36,False
2016-03-27,36,False
2016-03-28,31,False
2016-03-29,99,False
2016-03-30,40,False
2016-03-31,89,False
