date,FB stock,isPartial
2013-10-01,36,False
2013-10-02,43,False
2013-10-03,36,False
2013-10-04,32,False
2013-10-05,24,False
2013-10-06,15,False
2013-10-07,35,False
2013-10-08,46,False
2013-10-09,47,False
2013-10-10,59,False
2013-10-11,42,False
2013-10-12,12,False
2013-10-13,10,False
2013-10-14,39,False
2013-10-15,39,False
2013-10-16,53,False
2013-10-17,46,False
2013-10-18,52,False
2013-10-19,16,False
2013-10-20,20,False
2013-10-21,54,False
2013-10-22,34,False
2013-10-23,45,False
2013-10-24,40,False
2013-10-25,51,False
2013-10-26,16,False
2013-10-27,13,False
2013-10-28,43,False
2013-10-29,51,False
2013-10-30,76,False
2013-10-31,100,False
