date,EA stock,isPartial
2014-12-01,37,False
2014-12-02,49,False
2014-12-03,50,False
2014-12-04,82,False
2014-12-05,53,False
2014-12-06,23,False
2014-12-07,44,False
2014-12-08,64,False
2014-12-09,100,False
2014-12-10,82,False
2014-12-11,51,False
2014-12-12,94,False
2014-12-13,23,False
2014-12-14,22,False
2014-12-15,44,False
2014-12-16,96,False
2014-12-17,33,False
2014-12-18,33,False
2014-12-19,42,False
2014-12-20,55,False
2014-12-21,47,False
2014-12-22,34,False
2014-12-23,21,False
2014-12-24,63,False
2014-12-25,25,False
2014-12-26,23,False
2014-12-27,69,False
2014-12-28,38,False
2014-12-29,27,False
2014-12-30,21,False
2014-12-31,53,False
