date,AMZN stock,isPartial
2014-12-01,55,False
2014-12-02,66,False
2014-12-03,79,False
2014-12-04,68,False
2014-12-05,87,False
2014-12-06,24,False
2014-12-07,23,False
2014-12-08,45,False
2014-12-09,76,False
2014-12-10,48,False
2014-12-11,48,False
2014-12-12,46,False
2014-12-13,24,False
2014-12-14,19,False
2014-12-15,52,False
2014-12-16,57,False
2014-12-17,49,False
2014-12-18,67,False
2014-12-19,53,False
2014-12-20,60,False
2014-12-21,15,False
2014-12-22,34,False
2014-12-23,62,False
2014-12-24,50,False
2014-12-25,43,False
2014-12-26,33,False
2014-12-27,29,False
2014-12-28,19,False
2014-12-29,55,False
2014-12-30,100,False
2014-12-31,53,False
