date,GS stock,isPartial
2014-09-01,22,False
2014-09-02,14,False
2014-09-03,19,False
2014-09-04,15,False
2014-09-05,38,False
2014-09-06,26,False
2014-09-07,17,False
2014-09-08,14,False
2014-09-09,14,False
2014-09-10,29,False
2014-09-11,24,False
2014-09-12,22,False
2014-09-13,17,False
2014-09-14,17,False
2014-09-15,29,False
2014-09-16,29,False
2014-09-17,29,False
2014-09-18,36,False
2014-09-19,35,False
2014-09-20,34,False
2014-09-21,17,False
2014-09-22,28,False
2014-09-23,100,False
2014-09-24,43,False
2014-09-25,36,False
2014-09-26,30,False
2014-09-27,17,False
2014-09-28,28,False
2014-09-29,33,False
2014-09-30,19,False
