date,KO stock,isPartial
2016-02-01,36,False
2016-02-02,14,False
2016-02-03,72,False
2016-02-04,29,False
2016-02-05,45,False
2016-02-06,50,False
2016-02-07,8,False
2016-02-08,58,False
2016-02-09,52,False
2016-02-10,72,False
2016-02-11,50,False
2016-02-12,37,False
2016-02-13,24,False
2016-02-14,8,False
2016-02-15,14,False
2016-02-16,78,False
2016-02-17,72,False
2016-02-18,100,False
2016-02-19,44,False
2016-02-20,8,False
2016-02-21,41,False
2016-02-22,28,False
2016-02-23,70,False
2016-02-24,42,False
2016-02-25,43,False
2016-02-26,59,False
2016-02-27,41,False
2016-02-28,16,False
2016-02-29,55,False
