date,KO stock,isPartial
2017-08-01,63,False
2017-08-02,100,False
2017-08-03,97,False
2017-08-04,50,False
2017-08-05,19,False
2017-08-06,38,False
2017-08-07,71,False
2017-08-08,62,False
2017-08-09,64,False
2017-08-10,65,False
2017-08-11,68,False
2017-08-12,9,False
2017-08-13,19,False
2017-08-14,66,False
2017-08-15,74,False
2017-08-16,40,False
2017-08-17,72,False
2017-08-18,67,False
2017-08-19,19,False
2017-08-20,0,False
2017-08-21,47,False
2017-08-22,64,False
2017-08-23,80,False
2017-08-24,80,False
2017-08-25,51,False
2017-08-26,9,False
2017-08-27,18,False
2017-08-28,73,False
2017-08-29,48,False
2017-08-30,56,False
2017-08-31,72,False
