date,TSLA stock,isPartial
2016-07-01,100,False
2016-07-02,27,False
2016-07-03,12,False
2016-07-04,11,False
2016-07-05,92,False
2016-07-06,65,False
2016-07-07,36,False
2016-07-08,65,False
2016-07-09,28,False
2016-07-10,13,False
2016-07-11,57,False
2016-07-12,72,False
2016-07-13,49,False
2016-07-14,44,False
2016-07-15,36,False
2016-07-16,20,False
2016-07-17,10,False
2016-07-18,66,False
2016-07-19,51,False
2016-07-20,33,False
2016-07-21,74,False
2016-07-22,44,False
2016-07-23,18,False
2016-07-24,10,False
2016-07-25,57,False
2016-07-26,32,False
2016-07-27,57,False
2016-07-28,52,False
2016-07-29,45,False
2016-07-30,0,False
2016-07-31,5,False
