date,MDLZ stock,isPartial
2016-05-01,0,False
2016-05-02,0,False
2016-05-03,49,False
2016-05-04,33,False
2016-05-05,69,False
2016-05-06,35,False
2016-05-07,78,False
2016-05-08,39,False
2016-05-09,67,False
2016-05-10,49,False
2016-05-11,77,False
2016-05-12,33,False
2016-05-13,52,False
2016-05-14,38,False
2016-05-15,0,False
2016-05-16,33,False
2016-05-17,49,False
2016-05-18,33,False
2016-05-19,34,False
2016-05-20,0,False
2016-05-21,0,False
2016-05-22,38,False
2016-05-23,33,False
2016-05-24,50,False
2016-05-25,100,False
2016-05-26,69,False
2016-05-27,53,False
2016-05-28,0,False
2016-05-29,39,False
2016-05-30,35,False
2016-05-31,0,False
