date,SYMC stock,isPartial
2014-10-01,0,False
2014-10-02,0,False
2014-10-03,27,False
2014-10-04,0,False
2014-10-05,30,False
2014-10-06,0,False
2014-10-07,25,False
2014-10-08,100,False
2014-10-09,38,False
2014-10-10,39,False
2014-10-11,30,False
2014-10-12,0,False
2014-10-13,62,False
2014-10-14,72,False
2014-10-15,74,False
2014-10-16,25,False
2014-10-17,0,False
2014-10-18,30,False
2014-10-19,29,False
2014-10-20,61,False
2014-10-21,24,False
2014-10-22,25,False
2014-10-23,49,False
2014-10-24,26,False
2014-10-25,30,False
2014-10-26,29,False
2014-10-27,24,False
2014-10-28,0,False
2014-10-29,25,False
2014-10-30,50,False
2014-10-31,53,False
