date,WDC stock,isPartial
2018-04-01,7,False
2018-04-02,35,False
2018-04-03,28,False
2018-04-04,63,False
2018-04-05,55,False
2018-04-06,60,False
2018-04-07,17,False
2018-04-08,10,False
2018-04-09,28,False
2018-04-10,35,False
2018-04-11,42,False
2018-04-12,52,False
2018-04-13,56,False
2018-04-14,6,False
2018-04-15,6,False
2018-04-16,24,False
2018-04-17,48,False
2018-04-18,48,False
2018-04-19,21,False
2018-04-20,41,False
2018-04-21,13,False
2018-04-22,10,False
2018-04-23,42,False
2018-04-24,31,False
2018-04-25,48,False
2018-04-26,80,False
2018-04-27,100,False
2018-04-28,35,False
2018-04-29,9,False
2018-04-30,79,False
