date,DIS stock,isPartial
2015-09-01,82,False
2015-09-02,74,False
2015-09-03,100,False
2015-09-04,95,False
2015-09-05,26,False
2015-09-06,13,False
2015-09-07,18,False
2015-09-08,75,False
2015-09-09,94,False
2015-09-10,54,False
2015-09-11,74,False
2015-09-12,18,False
2015-09-13,10,False
2015-09-14,70,False
2015-09-15,64,False
2015-09-16,53,False
2015-09-17,66,False
2015-09-18,40,False
2015-09-19,30,False
2015-09-20,5,False
2015-09-21,55,False
2015-09-22,65,False
2015-09-23,45,False
2015-09-24,64,False
2015-09-25,73,False
2015-09-26,20,False
2015-09-27,18,False
2015-09-28,58,False
2015-09-29,82,False
2015-09-30,53,False
