date,INTC stock,isPartial
2016-06-01,31,False
2016-06-02,19,False
2016-06-03,46,False
2016-06-04,7,False
2016-06-05,7,False
2016-06-06,38,False
2016-06-07,31,False
2016-06-08,19,False
2016-06-09,19,False
2016-06-10,26,False
2016-06-11,22,False
2016-06-12,21,False
2016-06-13,62,False
2016-06-14,31,False
2016-06-15,44,False
2016-06-16,13,False
2016-06-17,26,False
2016-06-18,7,False
2016-06-19,7,False
2016-06-20,50,False
2016-06-21,25,False
2016-06-22,44,False
2016-06-23,33,False
2016-06-24,100,False
2016-06-25,30,False
2016-06-26,7,False
2016-06-27,50,False
2016-06-28,38,False
2016-06-29,64,False
2016-06-30,52,False
