date,DIS stock,isPartial
2016-02-01,23,False
2016-02-02,34,False
2016-02-03,35,False
2016-02-04,28,False
2016-02-05,29,False
2016-02-06,6,False
2016-02-07,6,False
2016-02-08,40,False
2016-02-09,89,False
2016-02-10,100,False
2016-02-11,47,False
2016-02-12,50,False
2016-02-13,6,False
2016-02-14,2,False
2016-02-15,15,False
2016-02-16,33,False
2016-02-17,35,False
2016-02-18,31,False
2016-02-19,37,False
2016-02-20,15,False
2016-02-21,5,False
2016-02-22,30,False
2016-02-23,19,False
2016-02-24,29,False
2016-02-25,23,False
2016-02-26,28,False
2016-02-27,5,False
2016-02-28,4,False
2016-02-29,30,False
