date,GS stock,isPartial
2018-01-01,5,False
2018-01-02,38,False
2018-01-03,22,False
2018-01-04,25,False
2018-01-05,22,False
2018-01-06,14,False
2018-01-07,12,False
2018-01-08,25,False
2018-01-09,23,False
2018-01-10,37,False
2018-01-11,30,False
2018-01-12,50,False
2018-01-13,11,False
2018-01-14,6,False
2018-01-15,21,False
2018-01-16,24,False
2018-01-17,100,False
2018-01-18,55,False
2018-01-19,57,False
2018-01-20,11,False
2018-01-21,11,False
2018-01-22,48,False
2018-01-23,47,False
2018-01-24,38,False
2018-01-25,27,False
2018-01-26,34,False
2018-01-27,20,False
2018-01-28,7,False
2018-01-29,31,False
2018-01-30,31,False
2018-01-31,30,False
