date,TSLA stock,isPartial
2017-11-01,81,False
2017-11-02,100,False
2017-11-03,62,False
2017-11-04,14,False
2017-11-05,7,False
2017-11-06,33,False
2017-11-07,36,False
2017-11-08,33,False
2017-11-09,28,False
2017-11-10,25,False
2017-11-11,12,False
2017-11-12,5,False
2017-11-13,35,False
2017-11-14,33,False
2017-11-15,32,False
2017-11-16,34,False
2017-11-17,74,False
2017-11-18,12,False
2017-11-19,7,False
2017-11-20,32,False
2017-11-21,33,False
2017-11-22,30,False
2017-11-23,8,False
2017-11-24,17,False
2017-11-25,7,False
2017-11-26,3,False
2017-11-27,32,False
2017-11-28,28,False
2017-11-29,32,False
2017-11-30,22,False
