date,COST stock,isPartial
2017-04-01,53,False
2017-04-02,51,False
2017-04-03,76,False
2017-04-04,79,False
2017-04-05,80,False
2017-04-06,80,False
2017-04-07,90,False
2017-04-08,60,False
2017-04-09,68,False
2017-04-10,87,False
2017-04-11,100,False
2017-04-12,92,False
2017-04-13,88,False
2017-04-14,70,False
2017-04-15,46,False
2017-04-16,55,False
2017-04-17,87,False
2017-04-18,70,False
2017-04-19,66,False
2017-04-20,91,False
2017-04-21,61,False
2017-04-22,43,False
2017-04-23,54,False
2017-04-24,75,False
2017-04-25,100,False
2017-04-26,86,False
2017-04-27,82,False
2017-04-28,70,False
2017-04-29,59,False
2017-04-30,50,False
