date,AMZN stock,isPartial
2014-06-01,10,False
2014-06-02,20,False
2014-06-03,39,False
2014-06-04,19,False
2014-06-05,52,False
2014-06-06,55,False
2014-06-07,10,False
2014-06-08,15,False
2014-06-09,28,False
2014-06-10,41,False
2014-06-11,32,False
2014-06-12,64,False
2014-06-13,58,False
2014-06-14,5,False
2014-06-15,19,False
2014-06-16,32,False
2014-06-17,51,False
2014-06-18,100,False
2014-06-19,90,False
2014-06-20,51,False
2014-06-21,15,False
2014-06-22,10,False
2014-06-23,32,False
2014-06-24,47,False
2014-06-25,32,False
2014-06-26,24,False
2014-06-27,30,False
2014-06-28,25,False
2014-06-29,20,False
2014-06-30,20,False
