date,EXPE stock,isPartial
2018-12-01,0,False
2018-12-02,0,False
2018-12-03,45,False
2018-12-04,67,False
2018-12-05,45,False
2018-12-06,46,False
2018-12-07,47,False
2018-12-08,0,False
2018-12-09,0,False
2018-12-10,0,False
2018-12-11,0,False
2018-12-12,47,False
2018-12-13,0,False
2018-12-14,46,False
2018-12-15,0,False
2018-12-16,53,False
2018-12-17,0,False
2018-12-18,0,False
2018-12-19,0,False
2018-12-20,48,False
2018-12-21,0,False
2018-12-22,0,False
2018-12-23,0,False
2018-12-24,0,False
2018-12-25,0,False
2018-12-26,76,False
2018-12-27,73,False
2018-12-28,100,False
2018-12-29,0,False
2018-12-30,0,False
2018-12-31,0,False
