date,NFLX stock,isPartial
2015-06-01,13,False
2015-06-02,22,False
2015-06-03,15,False
2015-06-04,25,False
2015-06-05,20,False
2015-06-06,14,False
2015-06-07,9,False
2015-06-08,13,False
2015-06-09,22,False
2015-06-10,50,False
2015-06-11,51,False
2015-06-12,30,False
2015-06-13,14,False
2015-06-14,4,False
2015-06-15,11,False
2015-06-16,31,False
2015-06-17,17,False
2015-06-18,30,False
2015-06-19,20,False
2015-06-20,5,False
2015-06-21,5,False
2015-06-22,28,False
2015-06-23,48,False
2015-06-24,100,False
2015-06-25,57,False
2015-06-26,53,False
2015-06-27,11,False
2015-06-28,11,False
2015-06-29,55,False
2015-06-30,39,False
