date,COST stock,isPartial
2015-02-01,62,False
2015-02-02,74,False
2015-02-03,92,False
2015-02-04,99,False
2015-02-05,100,False
2015-02-06,73,False
2015-02-07,63,False
2015-02-08,49,False
2015-02-09,85,False
2015-02-10,82,False
2015-02-11,86,False
2015-02-12,87,False
2015-02-13,69,False
2015-02-14,62,False
2015-02-15,75,False
2015-02-16,71,False
2015-02-17,84,False
2015-02-18,82,False
2015-02-19,72,False
2015-02-20,70,False
2015-02-21,59,False
2015-02-22,60,False
2015-02-23,80,False
2015-02-24,71,False
2015-02-25,79,False
2015-02-26,71,False
2015-02-27,69,False
2015-02-28,49,False
