date,EA stock,isPartial
2013-01-01,48,False
2013-01-02,76,False
2013-01-03,41,False
2013-01-04,68,False
2013-01-05,28,False
2013-01-06,0,False
2013-01-07,48,False
2013-01-08,48,False
2013-01-09,48,False
2013-01-10,72,False
2013-01-11,62,False
2013-01-12,56,False
2013-01-13,27,False
2013-01-14,35,False
2013-01-15,78,False
2013-01-16,55,False
2013-01-17,47,False
2013-01-18,41,False
2013-01-19,37,False
2013-01-20,41,False
2013-01-21,23,False
2013-01-22,58,False
2013-01-23,58,False
2013-01-24,47,False
2013-01-25,73,False
2013-01-26,46,False
2013-01-27,54,False
2013-01-28,38,False
2013-01-29,57,False
2013-01-30,100,False
2013-01-31,78,False
