date,CSCO stock,isPartial
2017-09-01,52,False
2017-09-02,19,False
2017-09-03,14,False
2017-09-04,26,False
2017-09-05,32,False
2017-09-06,56,False
2017-09-07,49,False
2017-09-08,42,False
2017-09-09,9,False
2017-09-10,9,False
2017-09-11,84,False
2017-09-12,80,False
2017-09-13,72,False
2017-09-14,41,False
2017-09-15,50,False
2017-09-16,23,False
2017-09-17,0,False
2017-09-18,100,False
2017-09-19,87,False
2017-09-20,28,False
2017-09-21,45,False
2017-09-22,55,False
2017-09-23,14,False
2017-09-24,28,False
2017-09-25,40,False
2017-09-26,43,False
2017-09-27,72,False
2017-09-28,61,False
2017-09-29,47,False
2017-09-30,19,False
