date,MCD stock,isPartial
2015-03-01,25,False
2015-03-02,64,False
2015-03-03,35,False
2015-03-04,100,False
2015-03-05,94,False
2015-03-06,22,False
2015-03-07,25,False
2015-03-08,25,False
2015-03-09,43,False
2015-03-10,71,False
2015-03-11,0,False
2015-03-12,58,False
2015-03-13,52,False
2015-03-14,17,False
2015-03-15,16,False
2015-03-16,29,False
2015-03-17,28,False
2015-03-18,50,False
2015-03-19,43,False
2015-03-20,44,False
2015-03-21,17,False
2015-03-22,17,False
2015-03-23,35,False
2015-03-24,63,False
2015-03-25,42,False
2015-03-26,50,False
2015-03-27,75,False
2015-03-28,36,False
2015-03-29,17,False
2015-03-30,50,False
2015-03-31,43,False
