date,BA stock,isPartial
2017-09-01,44,False
2017-09-02,12,False
2017-09-03,7,False
2017-09-04,17,False
2017-09-05,66,False
2017-09-06,74,False
2017-09-07,46,False
2017-09-08,48,False
2017-09-09,10,False
2017-09-10,12,False
2017-09-11,53,False
2017-09-12,49,False
2017-09-13,57,False
2017-09-14,56,False
2017-09-15,79,False
2017-09-16,10,False
2017-09-17,9,False
2017-09-18,70,False
2017-09-19,100,False
2017-09-20,91,False
2017-09-21,61,False
2017-09-22,91,False
2017-09-23,31,False
2017-09-24,12,False
2017-09-25,63,False
2017-09-26,47,False
2017-09-27,74,False
2017-09-28,52,False
2017-09-29,80,False
2017-09-30,22,False
