date,TWTR,isPartial
2013-06-01,49,False
2013-06-02,68,False
2013-06-03,40,False
2013-06-04,32,False
2013-06-05,81,False
2013-06-06,66,False
2013-06-07,17,False
2013-06-08,40,False
2013-06-09,0,False
2013-06-10,64,False
2013-06-11,31,False
2013-06-12,33,False
2013-06-13,66,False
2013-06-14,61,False
2013-06-15,40,False
2013-06-16,20,False
2013-06-17,73,False
2013-06-18,81,False
2013-06-19,41,False
2013-06-20,99,False
2013-06-21,78,False
2013-06-22,30,False
2013-06-23,30,False
2013-06-24,89,False
2013-06-25,32,False
2013-06-26,49,False
2013-06-27,66,False
2013-06-28,43,False
2013-06-29,51,False
2013-06-30,100,False
