date,FB stock,isPartial
2018-10-01,36,False
2018-10-02,31,False
2018-10-03,36,False
2018-10-04,34,False
2018-10-05,33,False
2018-10-06,8,False
2018-10-07,4,False
2018-10-08,29,False
2018-10-09,27,False
2018-10-10,45,False
2018-10-11,50,False
2018-10-12,45,False
2018-10-13,8,False
2018-10-14,4,False
2018-10-15,30,False
2018-10-16,33,False
2018-10-17,31,False
2018-10-18,27,False
2018-10-19,27,False
2018-10-20,6,False
2018-10-21,2,False
2018-10-22,23,False
2018-10-23,31,False
2018-10-24,34,False
2018-10-25,43,False
2018-10-26,42,False
2018-10-27,12,False
2018-10-28,4,False
2018-10-29,36,False
2018-10-30,100,False
2018-10-31,88,False
