date,SYMC stock,isPartial
2019-03-01,39,False
2019-03-02,21,False
2019-03-03,21,False
2019-03-04,38,False
2019-03-05,44,False
2019-03-06,46,False
2019-03-07,38,False
2019-03-08,46,False
2019-03-09,22,False
2019-03-10,21,False
2019-03-11,28,False
2019-03-12,37,False
2019-03-13,18,False
2019-03-14,25,False
2019-03-15,49,False
2019-03-16,22,False
2019-03-17,22,False
2019-03-18,38,False
2019-03-19,48,False
2019-03-20,28,False
2019-03-21,48,False
2019-03-22,100,False
2019-03-23,43,False
2019-03-24,0,False
2019-03-25,28,False
2019-03-26,19,False
2019-03-27,51,False
2019-03-28,58,False
2019-03-29,20,False
2019-03-30,22,False
2019-03-31,22,False
