date,SBUX stock,isPartial
2016-07-01,43,False
2016-07-02,12,False
2016-07-03,9,False
2016-07-04,11,False
2016-07-05,41,False
2016-07-06,48,False
2016-07-07,50,False
2016-07-08,35,False
2016-07-09,22,False
2016-07-10,10,False
2016-07-11,47,False
2016-07-12,38,False
2016-07-13,37,False
2016-07-14,51,False
2016-07-15,54,False
2016-07-16,9,False
2016-07-17,12,False
2016-07-18,41,False
2016-07-19,55,False
2016-07-20,48,False
2016-07-21,100,False
2016-07-22,74,False
2016-07-23,18,False
2016-07-24,12,False
2016-07-25,56,False
2016-07-26,51,False
2016-07-27,44,False
2016-07-28,46,False
2016-07-29,40,False
2016-07-30,12,False
2016-07-31,6,False
