date,MU stock,isPartial
2014-03-01,35,False
2014-03-02,17,False
2014-03-03,88,False
2014-03-04,100,False
2014-03-05,94,False
2014-03-06,64,False
2014-03-07,54,False
2014-03-08,35,False
2014-03-09,52,False
2014-03-10,74,False
2014-03-11,53,False
2014-03-12,39,False
2014-03-13,74,False
2014-03-14,88,False
2014-03-15,17,False
2014-03-16,26,False
2014-03-17,93,False
2014-03-18,29,False
2014-03-19,49,False
2014-03-20,75,False
2014-03-21,62,False
2014-03-22,35,False
2014-03-23,17,False
2014-03-24,43,False
2014-03-25,38,False
2014-03-26,58,False
2014-03-27,55,False
2014-03-28,77,False
2014-03-29,52,False
2014-03-30,34,False
2014-03-31,87,False
