date,COST stock,isPartial
2018-09-01,43,False
2018-09-02,46,False
2018-09-03,48,False
2018-09-04,96,False
2018-09-05,94,False
2018-09-06,83,False
2018-09-07,99,False
2018-09-08,62,False
2018-09-09,43,False
2018-09-10,100,False
2018-09-11,84,False
2018-09-12,76,False
2018-09-13,78,False
2018-09-14,86,False
2018-09-15,46,False
2018-09-16,44,False
2018-09-17,91,False
2018-09-18,89,False
2018-09-19,91,False
2018-09-20,83,False
2018-09-21,76,False
2018-09-22,43,False
2018-09-23,47,False
2018-09-24,69,False
2018-09-25,71,False
2018-09-26,79,False
2018-09-27,81,False
2018-09-28,66,False
2018-09-29,48,False
2018-09-30,54,False
