date,AMZN stock,isPartial
2016-02-01,73,False
2016-02-02,72,False
2016-02-03,75,False
2016-02-04,75,False
2016-02-05,74,False
2016-02-06,23,False
2016-02-07,7,False
2016-02-08,100,False
2016-02-09,79,False
2016-02-10,68,False
2016-02-11,95,False
2016-02-12,62,False
2016-02-13,13,False
2016-02-14,5,False
2016-02-15,18,False
2016-02-16,51,False
2016-02-17,53,False
2016-02-18,61,False
2016-02-19,46,False
2016-02-20,18,False
2016-02-21,12,False
2016-02-22,56,False
2016-02-23,36,False
2016-02-24,36,False
2016-02-25,43,False
2016-02-26,47,False
2016-02-27,6,False
2016-02-28,6,False
2016-02-29,55,False
