date,GOOG stock,isPartial
2017-10-01,7,False
2017-10-02,17,False
2017-10-03,19,False
2017-10-04,21,False
2017-10-05,31,False
2017-10-06,28,False
2017-10-07,9,False
2017-10-08,6,False
2017-10-09,20,False
2017-10-10,25,False
2017-10-11,26,False
2017-10-12,32,False
2017-10-13,29,False
2017-10-14,10,False
2017-10-15,11,False
2017-10-16,23,False
2017-10-17,28,False
2017-10-18,24,False
2017-10-19,23,False
2017-10-20,21,False
2017-10-21,12,False
2017-10-22,3,False
2017-10-23,25,False
2017-10-24,21,False
2017-10-25,30,False
2017-10-26,73,False
2017-10-27,100,False
2017-10-28,19,False
2017-10-29,10,False
2017-10-30,36,False
2017-10-31,31,False
