date,PEP stock,isPartial
2014-05-01,92,False
2014-05-02,54,False
2014-05-03,30,False
2014-05-04,29,False
2014-05-05,42,False
2014-05-06,42,False
2014-05-07,41,False
2014-05-08,38,False
2014-05-09,79,False
2014-05-10,30,False
2014-05-11,29,False
2014-05-12,85,False
2014-05-13,66,False
2014-05-14,100,False
2014-05-15,34,False
2014-05-16,35,False
2014-05-17,31,False
2014-05-18,60,False
2014-05-19,0,False
2014-05-20,38,False
2014-05-21,45,False
2014-05-22,42,False
2014-05-23,38,False
2014-05-24,0,False
2014-05-25,34,False
2014-05-26,56,False
2014-05-27,53,False
2014-05-28,55,False
2014-05-29,38,False
2014-05-30,58,False
2014-05-31,34,False
