date,COST stock,isPartial
2018-01-01,46,False
2018-01-02,70,False
2018-01-03,78,False
2018-01-04,85,False
2018-01-05,71,False
2018-01-06,48,False
2018-01-07,51,False
2018-01-08,70,False
2018-01-09,90,False
2018-01-10,73,False
2018-01-11,93,False
2018-01-12,80,False
2018-01-13,60,False
2018-01-14,39,False
2018-01-15,63,False
2018-01-16,76,False
2018-01-17,82,False
2018-01-18,85,False
2018-01-19,85,False
2018-01-20,58,False
2018-01-21,42,False
2018-01-22,81,False
2018-01-23,87,False
2018-01-24,93,False
2018-01-25,83,False
2018-01-26,56,False
2018-01-27,55,False
2018-01-28,57,False
2018-01-29,100,False
2018-01-30,93,False
2018-01-31,86,False
