date,PFE stock,isPartial
2018-06-01,96,False
2018-06-02,36,False
2018-06-03,13,False
2018-06-04,68,False
2018-06-05,42,False
2018-06-06,69,False
2018-06-07,91,False
2018-06-08,75,False
2018-06-09,22,False
2018-06-10,18,False
2018-06-11,51,False
2018-06-12,84,False
2018-06-13,82,False
2018-06-14,67,False
2018-06-15,95,False
2018-06-16,22,False
2018-06-17,13,False
2018-06-18,71,False
2018-06-19,71,False
2018-06-20,75,False
2018-06-21,72,False
2018-06-22,97,False
2018-06-23,30,False
2018-06-24,43,False
2018-06-25,63,False
2018-06-26,100,False
2018-06-27,79,False
2018-06-28,76,False
2018-06-29,56,False
2018-06-30,13,False
