date,AAPL stock,isPartial
2016-08-01,74,False
2016-08-02,66,False
2016-08-03,76,False
2016-08-04,86,False
2016-08-05,78,False
2016-08-06,16,False
2016-08-07,12,False
2016-08-08,62,False
2016-08-09,74,False
2016-08-10,64,False
2016-08-11,82,False
2016-08-12,72,False
2016-08-13,11,False
2016-08-14,10,False
2016-08-15,81,False
2016-08-16,74,False
2016-08-17,60,False
2016-08-18,54,False
2016-08-19,64,False
2016-08-20,14,False
2016-08-21,11,False
2016-08-22,55,False
2016-08-23,42,False
2016-08-24,63,False
2016-08-25,52,False
2016-08-26,48,False
2016-08-27,12,False
2016-08-28,6,False
2016-08-29,59,False
2016-08-30,100,False
2016-08-31,74,False
