date,MAT stock,isPartial
2015-06-01,58,False
2015-06-02,0,False
2015-06-03,0,False
2015-06-04,41,False
2015-06-05,82,False
2015-06-06,47,False
2015-06-07,94,False
2015-06-08,76,False
2015-06-09,58,False
2015-06-10,78,False
2015-06-11,100,False
2015-06-12,82,False
2015-06-13,71,False
2015-06-14,46,False
2015-06-15,0,False
2015-06-16,38,False
2015-06-17,78,False
2015-06-18,79,False
2015-06-19,62,False
2015-06-20,47,False
2015-06-21,47,False
2015-06-22,39,False
2015-06-23,59,False
2015-06-24,78,False
2015-06-25,40,False
2015-06-26,41,False
2015-06-27,47,False
2015-06-28,0,False
2015-06-29,59,False
2015-06-30,0,False
