date,SYMC stock,isPartial
2013-05-01,42,False
2013-05-02,26,False
2013-05-03,0,False
2013-05-04,0,False
2013-05-05,0,False
2013-05-06,0,False
2013-05-07,51,False
2013-05-08,34,False
2013-05-09,26,False
2013-05-10,27,False
2013-05-11,0,False
2013-05-12,0,False
2013-05-13,38,False
2013-05-14,50,False
2013-05-15,37,False
2013-05-16,26,False
2013-05-17,27,False
2013-05-18,0,False
2013-05-19,0,False
2013-05-20,26,False
2013-05-21,0,False
2013-05-22,25,False
2013-05-23,100,False
2013-05-24,0,False
2013-05-25,0,False
2013-05-26,0,False
2013-05-27,0,False
2013-05-28,0,False
2013-05-29,25,False
2013-05-30,0,False
2013-05-31,35,False
